plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008-09,generation_2009-10,generation_2010-11,generation_2011-12,generation_2012-13,generation_2013-14,generation_2014-15,generation_2021-22,generation_2022-23,generation_2023-24,generation_2024-25,generation_2007-08,plant_load_factor_2015-16,plant_load_factor_2016-17,plant_load_factor_2017-18,plant_load_factor_2018-19,plant_load_factor_2019-20,plant_load_factor_2020-21,plant_load_factor_2008-09,plant_load_factor_2009-10,plant_load_factor_2010-11,plant_load_factor_2011-12,plant_load_factor_2012-13,plant_load_factor_2013-14,plant_load_factor_2014-15,plant_load_factor_2021-22,plant_load_factor_2022-23,plant_load_factor_2023-24,plant_load_factor_2024-25,plant_load_factor_2007-08
rajasthan-chittorgarh,,,Rajasthan-Chittorgarh,Rajasthan,Chittorgarh,,0.675,,operational,operational,2006,2005-06,2000-2009,wind,,0.80222076,0.9052803,0.9076454999999999,1.0016622000000002,0.96290208,0.8148664800000002,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
rajasthan-jaisalmer,,,Rajasthan-Jaisalmer,Rajasthan,Jaisalmer,,4165.545,,operational,operational,2001,2000-01,2000-2009,wind,,3582.24252408,4374.3814674000005,4407.324849,4866.8169396,4678.491565439999,3973.578686784,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
rajasthan-jodhpur,,,Rajasthan-Jodhpur,Rajasthan,Jodhpur,,409.9,,operational,operational,2008,2007-08,2000-2009,wind,,457.20640943999996,549.7398443999999,551.1761339999999,608.2686456,584.7312038399999,494.83521504,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
rajasthan-pratapgarh,,,Rajasthan-Pratapgarh,Rajasthan,Pratapgarh,,347.5,,operational,operational,2012,2011-12,2010-2019,wind,,401.11038,472.7574900000001,473.99265,523.09026,502.848864,425.54138400000005,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
rajasthan-sikar,,,Rajasthan-Sikar,Rajasthan,Sikar,,12.0,,operational,operational,2004,2004-05,2000-2009,wind,,14.261702399999997,16.093872,16.13592,17.807328000000002,17.1182592,14.4865152,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
tamil-nadu-ariyalur,,,Tamil Nadu-Ariyalur,Tamil Nadu,Ariyalur,,22.0,,operational,operational,2019,2018-19,2010-2019,wind,,N.F.,N.F.,N.F.,30.893016,104.79399839999999,118.1670624,,,,,,,,,,,,,N.F.,N.F.,N.F.,16.03,17.29,18.66,,,,,,,,,,,,
tamil-nadu-chennai,,,Tamil Nadu-Chennai,Tamil Nadu,Chennai,,3.125,,operational,operational,2016,2016-17,2010-2019,wind,,N.F.,1.7124924,4.7085,4.3882125,4.746105,4.67433,,,,,,,,,,,,,N.F.,17.3,17.2,16.03,17.29,18.66,,,,,,,,,,,,
tamil-nadu-coimbatore,,,Tamil Nadu-Coimbatore,Tamil Nadu,Coimbatore,,2260.1875,,operational,operational,1994,1993-94,1990-1999,wind,,2060.142879168,3288.8795412,3273.7861488,3053.12868672,3373.5162464639993,3358.696817664,,,,,,,,,,,,,14.52,17.3,17.2,16.03,17.29,18.66,,,,,,,,,,,,
tamil-nadu-dharmapuri,,,Tamil Nadu-Dharmapuri,Tamil Nadu,Dharmapuri,,196.0,,operational,operational,2011,2010-11,2010-2019,wind,,183.32835839999998,290.9721600000001,295.31712,275.228688,297.6757056,293.1739776,,,,,,,,,,,,,14.52,17.3,17.2,16.03,17.29,18.66,,,,,,,,,,,,
tamil-nadu-dindigul,,,Tamil Nadu-Dindigul,Tamil Nadu,Dindigul,,467.95,,operational,operational,2007,2006-07,2000-2009,wind,,199.60829855999998,355.15273799999994,389.261112,376.8245838000001,478.93894776,486.6538449600001,,,,,,,,,,,,,14.52,17.3,17.2,16.03,17.29,18.66,,,,,,,,,,,,
