plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008_09,generation_2009_10,generation_2010_11,generation_2011_12,generation_2012_13,generation_2013_14,generation_2014_15,generation_2021_22,generation_2022_23,generation_2023_24,generation_2024_25,generation_2007_08,plant_load_factor_2015_16,plant_load_factor_2016_17,plant_load_factor_2017_18,plant_load_factor_2018_19,plant_load_factor_2019_20,plant_load_factor_2020_21,plant_load_factor_2008_09,plant_load_factor_2009_10,plant_load_factor_2010_11,plant_load_factor_2011_12,plant_load_factor_2012_13,plant_load_factor_2013_14,plant_load_factor_2014_15,plant_load_factor_2021_22,plant_load_factor_2022_23,plant_load_factor_2023_24,plant_load_factor_2024_25,plant_load_factor_2007_08
rammam-ii-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Rammam II Hydroelectric Power Project,West Bengal,Darjeeling,01-08-1995 00:00,12.5,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1995,1995-96,1990-1999,hydro,Run of River type,254.0,248.0,122.0,236.93,247.31,254.72,204.0,210.0,200.0,227.0,223.0,265.0,237.0,268.32,245.62,162.91,182.04,0.0,57.99086758,56.62100457,27.85388128,54.09360731,56.46347032,58.15525,46.57534247,47.94520548,45.66210046,51.82648402,50.91324201,60.50228311,54.10958904,61.26027,56.08,37.0924408,55.16363636,0.0
rammam-ii-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Rammam II Hydroelectric Power Project,West Bengal,Darjeeling,01-08-1995 00:00,12.5,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1995,1995-96,1990-1999,hydro,Run of River type,254.0,248.0,122.0,236.93,247.31,254.72,204.0,210.0,200.0,227.0,223.0,265.0,237.0,268.32,245.62,162.91,182.04,0.0,57.99086758,56.62100457,27.85388128,54.09360731,56.46347032,58.15525,46.57534247,47.94520548,45.66210046,51.82648402,50.91324201,60.50228311,54.10958904,61.26027,56.08,37.0924408,55.16363636,0.0
rammam-ii-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Rammam II Hydroelectric Power Project,West Bengal,Darjeeling,01-08-1996 00:00,12.5,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1996,1996-97,1990-1999,hydro,Run of River type,254.0,248.0,122.0,236.93,247.31,254.72,204.0,210.0,200.0,227.0,223.0,265.0,237.0,268.32,245.62,162.91,182.04,0.0,57.99086758,56.62100457,27.85388128,54.09360731,56.46347032,58.15525,46.57534247,47.94520548,45.66210046,51.82648402,50.91324201,60.50228311,54.10958904,61.26027,56.08,37.0924408,55.16363636,0.0
rammam-ii-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Rammam II Hydroelectric Power Project,West Bengal,Darjeeling,01-08-1996 00:00,12.5,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1996,1996-97,1990-1999,hydro,Run of River type,254.0,248.0,122.0,236.93,247.31,254.72,204.0,210.0,200.0,227.0,223.0,265.0,237.0,268.32,245.62,162.91,182.04,0.0,57.99086758,56.62100457,27.85388128,54.09360731,56.46347032,58.15525,46.57534247,47.94520548,45.66210046,51.82648402,50.91324201,60.50228311,54.10958904,61.26027,56.08,37.0924408,55.16363636,0.0
teesta-low-dam-iii-hydroelectric-power-project-national-hydroelectric-power-corporation-nhpc,Not Available,Not Available,Teesta Low Dam III Hydroelectric Power Project,West Bengal,Darjeeling,30-01-2013 00:00,33.0,National Hydroelectric Power Corporation (NHPC),operational,operational,2013,2012-13,2010-2019,hydro,Run of River with Pondage,515.0,554.0,387.0,572.06,581.82,541.28,0.0,0.0,0.0,0.0,0.0,187.0,394.0,601.5,599.42,418.91,123.85,0.0,44.5378442,47.91061298,33.46824408,49.47246437,50.31652138,46.81057,0.0,0.0,0.0,0.0,0.0,16.17199391,34.07361284,52.01847,51.84,36.12887757,14.21602388,0.0
teesta-low-dam-iii-hydroelectric-power-project-national-hydroelectric-power-corporation-nhpc,Not Available,Not Available,Teesta Low Dam III Hydroelectric Power Project,West Bengal,Darjeeling,20-01-2013 00:00,33.0,National Hydroelectric Power Corporation (NHPC),operational,operational,2013,2012-13,2010-2019,hydro,Run of River with Pondage,515.0,554.0,387.0,572.06,581.82,541.28,0.0,0.0,0.0,0.0,0.0,187.0,394.0,601.5,599.42,418.91,123.85,0.0,44.5378442,47.91061298,33.46824408,49.47246437,50.31652138,46.81057,0.0,0.0,0.0,0.0,0.0,16.17199391,34.07361284,52.01847,51.84,36.12887757,14.21602388,0.0
teesta-low-dam-iii-hydroelectric-power-project-national-hydroelectric-power-corporation-nhpc,Not Available,Not Available,Teesta Low Dam III Hydroelectric Power Project,West Bengal,Darjeeling,24-02-2013 00:00,33.0,National Hydroelectric Power Corporation (NHPC),operational,operational,2013,2012-13,2010-2019,hydro,Run of River with Pondage,515.0,554.0,387.0,572.06,581.82,541.28,0.0,0.0,0.0,0.0,0.0,187.0,394.0,601.5,599.42,418.91,123.85,0.0,44.5378442,47.91061298,33.46824408,49.47246437,50.31652138,46.81057,0.0,0.0,0.0,0.0,0.0,16.17199391,34.07361284,52.01847,51.84,36.12887757,14.21602388,0.0
teesta-low-dam-iii-hydroelectric-power-project-national-hydroelectric-power-corporation-nhpc,Not Available,Not Available,Teesta Low Dam III Hydroelectric Power Project,West Bengal,Darjeeling,01-04-2013 00:00,33.0,National Hydroelectric Power Corporation (NHPC),operational,operational,2013,2013-14,2010-2019,hydro,Run of River with Pondage,515.0,554.0,387.0,572.06,581.82,541.28,0.0,0.0,0.0,0.0,0.0,187.0,394.0,601.5,599.42,418.91,123.85,0.0,44.5378442,47.91061298,33.46824408,49.47246437,50.31652138,46.81057,0.0,0.0,0.0,0.0,0.0,16.17199391,34.07361284,52.01847,51.84,36.12887757,14.21602388,0.0
teesta-low-dam-iv-hydroelectric-power-project-national-hydroelectric-power-corporation-nhpc,Not Available,Not Available,Teesta Low Dam IV Hydroelectric Power Project,West Bengal,Darjeeling,14-02-2016 00:00,40.0,National Hydroelectric Power Corporation (NHPC),operational,operational,2016,2015-16,2010-2019,hydro,Run of River with Pondage,19.0,603.0,495.0,708.45,739.18,718.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.75,734.62,638.19,560.73,0.0,1.355593607,43.02226027,35.31678082,50.54580479,52.73829909,51.29709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56493,52.41,45.40855533,53.09943182,0.0
teesta-low-dam-iv-hydroelectric-power-project-national-hydroelectric-power-corporation-nhpc,Not Available,Not Available,Teesta Low Dam IV Hydroelectric Power Project,West Bengal,Darjeeling,16-03-2016 00:00,40.0,National Hydroelectric Power Corporation (NHPC),operational,operational,2016,2015-16,2010-2019,hydro,Run of River with Pondage,19.0,603.0,495.0,708.45,739.18,718.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.75,734.62,638.19,560.73,0.0,1.355593607,43.02226027,35.31678082,50.54580479,52.73829909,51.29709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56493,52.41,45.40855533,53.09943182,0.0
